ID,Layer,Weight
11797079,Diffusion_L3,1
11354092,Diffusion_L3,1
11485358,Diffusion_L3,1
12327556,Diffusion_L3,1
10875526,Diffusion_L3,1
12168448,Diffusion_L3,1
12056832,Diffusion_L3,1
8762043,Diffusion_L3,1
8222588,Diffusion_L3,1
12112025,Diffusion_L3,1
11749275,Diffusion_L3,1
10144352,Diffusion_L3,1
12271586,Diffusion_L3,1
12429953,Diffusion_L3,1
9487235,Diffusion_L3,1
8374750,Diffusion_L3,1
12155618,Diffusion_L3,1
7643200,Diffusion_L3,1
12426788,Diffusion_L3,1
10795160,Diffusion_L3,1
11908243,Diffusion_L3,1
6438456,Diffusion_L3,1
11877203,Diffusion_L3,1
6456910,Diffusion_L3,1
11688418,Diffusion_L3,1
12401772,Diffusion_L3,1
12192617,Diffusion_L3,1
10797667,Diffusion_L3,1
11467802,Diffusion_L3,1
6803861,Diffusion_L3,1
9792692,Diffusion_L3,1
11727919,Diffusion_L3,1
9274594,Diffusion_L3,1
11416134,Diffusion_L3,1
11082678,Diffusion_L3,1
7103545,Diffusion_L3,1
11770650,Diffusion_L3,1
12101567,Diffusion_L3,1
10918287,Diffusion_L3,1
9352779,Diffusion_L3,1
11921471,Diffusion_L3,1
6553307,Diffusion_L3,1
7035721,Diffusion_L3,1
9180908,Diffusion_L3,1
12266057,Diffusion_L3,1
10031586,Diffusion_L3,1
9340154,Diffusion_L3,1
10497262,Diffusion_L3,1
12164694,Diffusion_L3,1
8294975,Diffusion_L3,1
7852462,Diffusion_L3,1
9193303,Diffusion_L3,1
10956508,Diffusion_L3,1
10718624,Diffusion_L3,1
9789392,Diffusion_L3,1
10875403,Diffusion_L3,1
11510027,Diffusion_L3,1
10134120,Diffusion_L3,1
11567324,Diffusion_L3,1
9179475,Diffusion_L3,1
11829380,Diffusion_L3,1
9495013,Diffusion_L3,1
9523852,Diffusion_L3,1
10847178,Diffusion_L3,1
10956406,Diffusion_L3,1
10760971,Diffusion_L3,1
8559093,Diffusion_L3,1
9082117,Diffusion_L3,1
10661716,Diffusion_L3,1
11714280,Diffusion_L3,1
7920102,Diffusion_L3,1
10565030,Diffusion_L3,1
9117113,Diffusion_L3,1
6708085,Diffusion_L3,1
12223402,Diffusion_L3,1
12124675,Diffusion_L3,1
11631121,Diffusion_L3,1
9652668,Diffusion_L3,1
6681174,Diffusion_L3,1
9002099,Diffusion_L3,1
10683008,Diffusion_L3,1
10732569,Diffusion_L3,1
9659555,Diffusion_L3,1
11718291,Diffusion_L3,1
9706176,Diffusion_L3,1
8047667,Diffusion_L3,1
8106347,Diffusion_L3,1
10042510,Diffusion_L3,1
8446469,Diffusion_L3,1
11301499,Diffusion_L3,1
6798355,Diffusion_L3,1
10827108,Diffusion_L3,1
11130487,Diffusion_L3,1
11091105,Diffusion_L3,1
11378390,Diffusion_L3,1
12223612,Diffusion_L3,1
10867604,Diffusion_L3,1
7023333,Diffusion_L3,1
12366769,Diffusion_L3,1
11809696,Diffusion_L3,1
11951979,Diffusion_L3,1
11556307,Diffusion_L3,1
11550542,Diffusion_L3,1
11297423,Diffusion_L3,1
11137979,Diffusion_L3,1
11666264,Diffusion_L3,1
11206169,Diffusion_L3,1
10341568,Diffusion_L3,1
12327302,Diffusion_L3,1
10565998,Diffusion_L3,1
11954405,Diffusion_L3,1
10049298,Diffusion_L3,1
10507829,Diffusion_L3,1
12361648,Diffusion_L3,1
6512965,Diffusion_L3,1
11625219,Diffusion_L3,1
11154771,Diffusion_L3,1
11727936,Diffusion_L3,1
11999296,Diffusion_L3,1
12267545,Diffusion_L3,1
11184969,Diffusion_L3,1
11300795,Diffusion_L3,1
10457209,Diffusion_L3,1
8604967,Diffusion_L3,1
9165469,Diffusion_L3,1
7548815,Diffusion_L3,1
12236932,Diffusion_L3,1
10402984,Diffusion_L3,1
9123058,Diffusion_L3,1
9341914,Diffusion_L3,1
10489971,Diffusion_L3,1
10755110,Diffusion_L3,1
9171200,Diffusion_L3,1
8416300,Diffusion_L3,1
10043391,Diffusion_L3,1
8983135,Diffusion_L3,1
9467685,Diffusion_L3,1
11194162,Diffusion_L3,1
11676590,Diffusion_L3,1
8282226,Diffusion_L3,1
11677698,Diffusion_L3,1
10467806,Diffusion_L3,1
12033081,Diffusion_L3,1
6763292,Diffusion_L3,1
8433470,Diffusion_L3,1
8041483,Diffusion_L3,1
11776509,Diffusion_L3,1
12051413,Diffusion_L3,1
12069409,Diffusion_L3,1
11962889,Diffusion_L3,1
8068942,Diffusion_L3,1
11206092,Diffusion_L3,1
11693115,Diffusion_L3,1
10753138,Diffusion_L3,1
10692380,Diffusion_L3,1
10839233,Diffusion_L3,1
11792590,Diffusion_L3,1
12204105,Diffusion_L3,1
7502687,Diffusion_L3,1
9824293,Diffusion_L3,1
11762467,Diffusion_L3,1
11565690,Diffusion_L3,1
8833987,Diffusion_L3,1
11797087,Diffusion_L3,1
10766417,Diffusion_L3,1
11095856,Diffusion_L3,1
11638070,Diffusion_L3,1
8694224,Diffusion_L3,1
10171709,Diffusion_L3,1
8095260,Diffusion_L3,1
10691729,Diffusion_L3,1
11714600,Diffusion_L3,1
11287666,Diffusion_L3,1
9851785,Diffusion_L3,1
10880427,Diffusion_L3,1
9305365,Diffusion_L3,1
9715067,Diffusion_L3,1
12293450,Diffusion_L3,1
10367948,Diffusion_L3,1
9688200,Diffusion_L3,1
11407428,Diffusion_L3,1
8164817,Diffusion_L3,1
12212536,Diffusion_L3,1
10545346,Diffusion_L3,1
11076035,Diffusion_L3,1
7831407,Diffusion_L3,1
11874970,Diffusion_L3,1
10102229,Diffusion_L3,1
12008230,Diffusion_L3,1
6975923,Diffusion_L3,1
8447474,Diffusion_L3,1
11657820,Diffusion_L3,1
8706342,Diffusion_L3,1
6681180,Diffusion_L3,1
7206697,Diffusion_L3,1
12412347,Diffusion_L3,1
10434944,Diffusion_L3,1
10810715,Diffusion_L3,1
11308962,Diffusion_L3,1
6727847,Diffusion_L3,1
8681997,Diffusion_L3,1
8731815,Diffusion_L3,1
9996595,Diffusion_L3,1
9014966,Diffusion_L3,1
11580990,Diffusion_L3,1
11474253,Diffusion_L3,1
10326969,Diffusion_L3,1
