Source,Target,Type
10752243,8587583,Diffusion
10753138,6906639,Diffusion
10753735,8320621,Diffusion
10754822,8418085,Diffusion
10755110,6553130,Diffusion
10757485,6487500,Diffusion
10759419,6553130,Diffusion
10760971,8320621,Diffusion
10764679,8385557,Diffusion
10765873,8631355,Diffusion
10765873,8745541,Diffusion
10766417,6553130,Diffusion
10768619,6275773,Diffusion
10768619,6487500,Diffusion
10769953,6906639,Diffusion
10772519,8351651,Diffusion
10773707,6553130,Diffusion
10775165,8320621,Diffusion
10776382,8418085,Diffusion
10780826,6553130,Diffusion
10780827,6553130,Diffusion
10782847,8631355,Diffusion
10782847,8659658,Diffusion
10782847,8843857,Diffusion
10782848,8659658,Diffusion
10787116,6553130,Diffusion
10787116,6906639,Diffusion
10789840,6275773,Diffusion
10791273,8295546,Diffusion
10793067,6553130,Diffusion
10795160,8670029,Diffusion
10797667,8385557,Diffusion
10798366,8745541,Diffusion
10798438,8418085,Diffusion
10800331,6553130,Diffusion
10800332,6553130,Diffusion
10802183,8320621,Diffusion
10802183,8670029,Diffusion
10802495,8587583,Diffusion
10803744,6553130,Diffusion
10805603,8320621,Diffusion
10807515,6553130,Diffusion
10807535,6487500,Diffusion
10807535,6553130,Diffusion
10810715,8320621,Diffusion
10811015,8385557,Diffusion
10878009,4901362,Internal
10878009,9298287,Internal
10878009,10296587,Internal
10814785,6553130,Diffusion
10816636,6275773,Diffusion
10816636,6487500,Diffusion
10817126,9244533,Diffusion
10817795,8351651,Diffusion
10818290,8385557,Diffusion
10819943,6553130,Diffusion
10820182,6275773,Diffusion
10820182,6487500,Diffusion
10820349,6275773,Diffusion
10820349,6487500,Diffusion
10820430,6275773,Diffusion
10823882,6487500,Diffusion
10823882,6553130,Diffusion
10824238,8745541,Diffusion
10824238,8856691,Diffusion
10827108,6553130,Diffusion
10829052,6487500,Diffusion
10829053,6487500,Diffusion
10831278,8745541,Diffusion
10839233,6553130,Diffusion
10841491,8587583,Diffusion
10842407,8351651,Diffusion
10843708,6275773,Diffusion
10843708,6487500,Diffusion
10846781,8745541,Diffusion
10846942,8351651,Diffusion
10846942,8631355,Diffusion
10846942,8659658,Diffusion
10846942,8843857,Diffusion
10847143,8385557,Diffusion
10847164,8385557,Diffusion
10847178,8385557,Diffusion
10849089,6275773,Diffusion
10849089,6487500,Diffusion
10852742,6275773,Diffusion
10852742,6487500,Diffusion
10853338,8418085,Diffusion
10858042,6553130,Diffusion
10859375,8320621,Diffusion
10859768,8670029,Diffusion
10861248,8295546,Diffusion
10864917,6275773,Diffusion
10864917,6487500,Diffusion
10867054,8745541,Diffusion
10867604,8385557,Diffusion
10867623,8745541,Diffusion
10868974,6553130,Diffusion
10869108,6275773,Diffusion
10869108,6487500,Diffusion
10869108,6553130,Diffusion
10869108,6906639,Diffusion
10869108,8745541,Diffusion
10869611,8320621,Diffusion
10869611,8351651,Diffusion
10870427,6553130,Diffusion
10870449,6553130,Diffusion
10871943,8385557,Diffusion
10872214,8320621,Diffusion
10872607,8745541,Diffusion
10873682,6553130,Diffusion
10873819,8385557,Diffusion
10875403,6553130,Diffusion
10875455,6553130,Diffusion
10875526,6553130,Diffusion
10875527,6553130,Diffusion
10877147,6553130,Diffusion
10878811,8385557,Diffusion
10880427,8385557,Diffusion
10880644,8385557,Diffusion
10880650,8385557,Diffusion
10883821,8670029,Diffusion
10883822,8670029,Diffusion
10889293,6553130,Diffusion
10890707,8670029,Diffusion
10891025,8418085,Diffusion
10891932,8385557,Diffusion
10898799,8418085,Diffusion
10904489,6553130,Diffusion
10904514,8320621,Diffusion
10905350,8351651,Diffusion
10905383,8351651,Diffusion
10908013,8320621,Diffusion
10908045,8587583,Diffusion
10909393,6553130,Diffusion
10909708,8320621,Diffusion
10911721,6553130,Diffusion
10914950,8670029,Diffusion
10918287,8320621,Diffusion
10919458,6553130,Diffusion
10921764,8351651,Diffusion
10922563,6553130,Diffusion
10922992,8320621,Diffusion
10925465,8320621,Diffusion
10926702,6553130,Diffusion
10926756,8587583,Diffusion
10928374,8320621,Diffusion
10937414,8351651,Diffusion
10939471,6275773,Diffusion
10939471,6487500,Diffusion
10942274,8670029,Diffusion
10942430,8670029,Diffusion
10942575,8659658,Diffusion
10946799,6553130,Diffusion
10950047,8351651,Diffusion
10956406,8418085,Diffusion
10956508,8418085,Diffusion
10959029,8385557,Diffusion
10969530,6553130,Diffusion
10970035,8385557,Diffusion
10970374,8351651,Diffusion
10970681,9244533,Diffusion
10970936,8351651,Diffusion
10971139,8385557,Diffusion
10979959,6275773,Diffusion
10979959,6487500,Diffusion
10984544,8320621,Diffusion
10990174,8351651,Diffusion
10990189,8745541,Diffusion
10990454,8745541,Diffusion
10990454,8856691,Diffusion
10994774,6553130,Diffusion
10996073,6275773,Diffusion
10999733,8745541,Diffusion
11000211,8351651,Diffusion
11006214,8385557,Diffusion
11007934,6553130,Diffusion
11007937,6553130,Diffusion
11007937,6906639,Diffusion
11009964,8659658,Diffusion
11010512,8631355,Diffusion
11010512,8659658,Diffusion
11010512,8843857,Diffusion
11012668,6553130,Diffusion
11013451,8587583,Diffusion
11015930,8587583,Diffusion
11017789,8385557,Diffusion
11021107,6487500,Diffusion
11023043,8631355,Diffusion
11024331,8385557,Diffusion
11025859,6553130,Diffusion
11029762,8320621,Diffusion
11030772,8587583,Diffusion
11031014,8385557,Diffusion
11036302,8351651,Diffusion
11042355,8385557,Diffusion
11045137,8351651,Diffusion
11047672,8320621,Diffusion
11050934,6553130,Diffusion
11054973,8295546,Diffusion
11055552,8745541,Diffusion
11061372,8295546,Diffusion
11069148,8351651,Diffusion
11071915,9244533,Diffusion
11072288,6487500,Diffusion
11073980,8745541,Diffusion
11076035,8385557,Diffusion
11079846,8351651,Diffusion
11080005,8385557,Diffusion
11080296,8418085,Diffusion
11082678,6553130,Diffusion
11086594,8659658,Diffusion
11090554,8487938,Diffusion
11091105,6553130,Diffusion
11095856,8587583,Diffusion
11099653,8631355,Diffusion
11099653,8659658,Diffusion
11099653,8843857,Diffusion
11100154,8418085,Diffusion
11100636,8320621,Diffusion
11100636,8351651,Diffusion
11100913,8745541,Diffusion
11100923,8385557,Diffusion
11101917,8351651,Diffusion
11104267,6553130,Diffusion
11104327,6553130,Diffusion
11106638,8418085,Diffusion
11107261,8295546,Diffusion
