Citing_Patent,Year,Assignee,CPC_Groups
10048763,2018,"MICROSOFT TECHNOLOGY LICENSING, LLC",G06F3/011; G06F3/017; G06F3/0304; G06F3/0488; G06V30/242; G06V40/20
9898675,2018,"MICROSOFT TECHNOLOGY LICENSING, LLC",G06F3/017; G06F3/0304; G06V10/24; G06V40/67
10049458,2018,"MICROSOFT TECHNOLOGY LICENSING, LLC",G01B11/22; G01B9/08; G06T7/55; H04N13/271; H04N23/11; H04N23/20; H04N23/80; H04N23/90
10024968,2018,"MICROSOFT TECHNOLOGY LICENSING, LLC",G01S17/89; G01S7/481; G01S7/4815; G02B19/0057; G02B27/0961; G02B27/48; G02B3/0056; H04N13/128; H04N13/207; H04N13/229; H04N2013/0081; H04N23/20; H04N23/55; H04N23/56
9958952,2018,"MICROSOFT TECHNOLOGY LICENSING, LLC",G06F3/011; G06F3/017; G06T2207/10028; G06T2207/30196; G06T7/251; G06V40/20; G06V40/23; H04L65/4061; H04L67/06; H04L67/131
10398972,2019,"MICROSOFT TECHNOLOGY LICENSING, LLC",A63F13/213; A63F13/22; A63F13/42; A63F13/428; A63F13/67; A63F13/803; A63F13/812; A63F2300/1018; A63F2300/1087; A63F2300/1093; A63F2300/5553; A63F2300/6027; A63F2300/6045; A63F2300/6607; A63F2300/8011; G06F16/436; G06F16/9537; G06F3/017
10296587,2019,"MICROSOFT TECHNOLOGY LICENSING, LLC",G06F40/30; G06F40/35; G06F40/58; G06N20/00; H04M1/724
10234545,2019,"MICROSOFT TECHNOLOGY LICENSING, LLC",G01S17/89; G01S7/484
10257932,2019,"MICROSOFT TECHNOLOGY LICENSING, LLC",F21V19/0015; F21Y2115/30; G03B15/03; H05K1/0206; H05K1/0207; H05K1/0298; H05K1/115; H05K1/181; H05K2201/09536; H05K2201/10121; H05K2203/049; H05K3/0061; H05K3/321; H05K3/4602; H05K3/4608; H05K3/4617; H05K3/4644; H05K3/4652; Y02P70/50
10412280,2019,"MICROSOFT TECHNOLOGY LICENSING, LLC",G02B5/201; G02F1/0136; G02F1/133528; G02F1/133531; G02F1/19; G02F2201/346; G02F2203/055; H04N2209/043; H04N23/11; H04N23/12; H04N23/55
10331222,2019,"MICROSOFT TECHNOLOGY LICENSING, LLC",G06F3/011; G06F3/017; G06F3/0304; G06F3/04815; G06T2207/10028; G06T2207/30196; G06T7/75; G06V40/28
10462452,2019,"MICROSOFT TECHNOLOGY LICENSING, LLC",G01S17/87; G01S17/894; G01S7/003; G01S7/484; H04N13/243; H04N13/254; H04N13/296; H04N23/56; H04N23/66
10331228,2019,"MICROSOFT TECHNOLOGY LICENSING, LLC",G06F2203/0381; G06F3/0346; G06F3/038; G08C17/00; G08C2201/31; G08C2201/32; G08C2201/41; G08C2201/50
10205931,2019,"MICROSOFT TECHNOLOGY LICENSING, LLC",A63F13/213; G06V40/23; H01S5/042; H01S5/0427; H01S5/0651; H01S5/06808; H01S5/06825; H04N13/254
10210382,2019,"MICROSOFT TECHNOLOGY LICENSING, LLC",G06F3/017; G06T2207/10028; G06T2207/20076; G06T2207/30196; G06T7/50; G06V40/103; G06V40/20
10488950,2019,"MICROSOFT TECHNOLOGY LICENSING, LLC",G06F2203/0381; G06F3/0346; G06F3/038; G08C17/00; G08C2201/31; G08C2201/32; G08C2201/41; G08C2201/50
10325628,2019,"MICROSOFT TECHNOLOGY LICENSING, LLC",A63F13/63; A63F13/655; A63F13/86; G11B20/10527; G11B2020/10537; G11B27/034; G11B27/036; G11B27/10; G11B27/34; H04N21/47205; H04N21/4781; H04N21/4788; H04N21/8456
10691216,2020,"MICROSOFT TECHNOLOGY LICENSING, LLC",A63B2024/0025; A63F2300/105; A63F2300/1087; A63F2300/64; G06F3/005; G06F3/011; G06F3/012; G06F3/013; G06F3/014; G06F3/017; G06F3/0346; G06F3/167; G09G2340/12; G10H2220/401
10726861,2020,"MICROSOFT TECHNOLOGY LICENSING, LLC",A63F2300/572; G10L2021/02166; G10L21/028; H04M2203/1066; H04M2203/65; H04R2203/12; H04S7/303
10642934,2020,"MICROSOFT TECHNOLOGY LICENSING, LLC",G06F16/3329; G06F16/951; G06F40/30; G06F40/40
10796494,2020,"MICROSOFT TECHNOLOGY LICENSING, LLC",G06T19/20; G06T2219/2012; G06T2219/2021; G06T2219/2024
10798438,2020,"MICROSOFT TECHNOLOGY LICENSING, LLC",H04N21/42201; H04N21/42203; H04N21/4223; H04N21/44213; H04N21/44218; H04N21/4667
10631066,2020,"Rovi Guides, Inc.",G11B27/105; H04N21/42201; H04N21/44218; H04N21/4438; H04N21/4532; H04N21/47; H04N21/4755; H04N21/478; H04N21/4826; H04N21/812
10671841,2020,"MICROSOFT TECHNOLOGY LICENSING, LLC",G06F3/017; G06F3/0304; G06V40/28
10878009,2020,"MICROSOFT TECHNOLOGY LICENSING, LLC",G06F16/24522; G06F16/3329; G06F16/3332; G06F16/3334; G06F16/3338; G06F16/3344; G06F16/84; G06F16/951; G06F40/44; G06N20/00
10534438,2020,"MICROSOFT TECHNOLOGY LICENSING, LLC",G06F2203/0381; G06F3/017; G06F3/038; G06F3/167; G06T7/521; G06V40/107; G10L2015/223; G10L2015/226
10585957,2020,"MICROSOFT TECHNOLOGY LICENSING, LLC",G06F16/9535
10551930,2020,"MICROSOFT TECHNOLOGY LICENSING, LLC",A63F13/211; A63F13/213; A63F13/22; A63F13/42; A63F13/428; A63F2300/1093; G06F3/011; G06F3/012; G06F3/013; G06F3/017; G06F3/0346; G06F3/038; G06T7/20; G06T7/285; G06T7/593; G06V40/20; G06V40/28; H04N13/128; H04N13/239; H04N13/366; H04N2013/0081
11153472,2021,"Cutting Edge Vision, LLC",G03B13/02; G03B17/02; G03B29/00; G03B31/06; G06F3/041; G10L15/22; G10L17/22; G10L2015/223; H04M3/42204; H04N1/00095; H04N1/00204; H04N1/00209; H04N1/00212; H04N1/00244; H04N1/2112; H04N2201/0084; H04N23/57; H04N23/611; H04N23/62; H04N23/631; H04N23/64; H04N23/66; H04N23/661
11215711,2022,"MICROSOFT TECHNOLOGY LICENSING, LLC",G01S17/894; G06T15/00; G06T17/00; G06T19/006; G06T2207/10016; G06T2207/10024; G06T2207/10028; G06T2207/30244; G06T7/246; G06T7/586; H04N13/20
11710309,2023,"MICROSOFT TECHNOLOGY LICENSING, LLC",G06F18/214; G06F18/231; G06F18/24323; G06V10/7625; G06V10/764; G06V10/774; G06V20/20
11818458,2023,"Cutting Edge Vision, LLC",G03B13/02; G03B17/02; G03B29/00; G03B31/06; G06F3/041; G10L15/22; G10L17/22; G10L2015/223; H04M3/42204; H04N1/00095; H04N1/00204; H04N1/00209; H04N1/00212; H04N1/00244; H04N1/2112; H04N2201/0084; H04N23/57; H04N23/611; H04N23/62; H04N23/631; H04N23/64; H04N23/66; H04N23/661
12002252,2024,"Rakuten Group, Inc.",G06T2207/10024; G06T2207/20132; G06T2207/20212; G06T2210/12; G06T3/40; G06T3/60; G06T7/11; G06T7/13; G06T7/194; G06V10/25; G06V10/32; G06V10/443; G06V10/46; G06V10/56; G06V10/75
