Citing_Patent,Year,Assignee,CPC_Groups
8526734,2013,Microsoft Corporation,A63F13/213; A63F2300/1087; A63F2300/6045; A63F2300/6607; G01S17/18; G01S17/894; G06F3/017; G06T15/205; G06T2207/10016; G06T2207/10028; G06T2207/20081; G06T2207/30196; G06T7/251; H04N13/254
8448094,2013,Microsoft Corporation,G06F3/017; G06V20/64; G06V40/28
8523667,2013,Microsoft Corporation,G06F3/011; G06Q30/0607; G06V40/103; G06V40/178; H04N21/4223; H04N21/4542; H04N21/4751; H04N21/4755
8483436,2013,Microsoft Corporation,G06F3/017; G06T15/00; G06T2200/04; G06T2207/10016; G06T2207/10028; G06T2207/30196; G06T7/251; G06T7/579; G06V40/10; H04N13/20
8457353,2013,Microsoft Corporation,G06F3/011; G06F3/017
8611607,2013,Microsoft Corporation,G06F18/231; G06F3/017; G06V10/267; G06V10/7625; G06V40/107; H04N19/436
8499257,2013,Microsoft Corporation,G06F3/017; G06F3/0304; G06F3/04812; G06F3/04842
8565476,2013,Microsoft Corporation,A63F13/211; A63F13/213; A63F13/428; A63F13/833; A63F2300/1093; A63F2300/6607; A63F2300/6615; A63F2300/8029; G06T13/40; G06T2207/10028; G06T2207/30196; G06T7/251; G06V20/64; G06V40/103
8416187,2013,Microsoft Corporation,G06F3/017
8503766,2013,Microsoft Corporation,G06T7/73; G06V10/20; G06V10/40; G06V20/64; G06V40/103; H04N23/611
8553934,2013,Microsoft Corporation,A63F2300/1093; G06F3/017; G06T2207/30196; G06T7/20; H04N13/271; H04N13/366
8578302,2013,Microsoft Corporation,G06F3/017; H04N7/18
8379919,2013,Microsoft Corporation,G06F18/231; G06F3/017; G06V10/267; G06V10/7625; G06V40/107; H04N19/436
8508919,2013,Microsoft Corporation,G06F3/011; Y10T29/49002
8610665,2013,Microsoft Corporation,A63F13/428; A63F2300/1006; A63F2300/1093; G06F3/011; G06F3/033; G06T17/10; G06T19/00; G06V40/103; G06V40/20
8390680,2013,Microsoft Corporation,A63F13/213; A63F13/42; G06F3/011; G06F3/017; G06T13/80
8452087,2013,Microsoft Corporation,G06T11/001; G06T11/60; G06T7/11; G06T7/194
8588465,2013,Microsoft Corporation,A63F13/213; A63F13/42; A63F13/428; A63F13/833; A63F2300/1012; A63F2300/1093; A63F2300/5553; A63F2300/6045; A63F2300/6607; A63F2300/6615; A63F2300/8029; G06T2207/10016; G06T2207/10028; G06T2207/30196; G06T7/251
8411948,2013,Microsoft Corporation,G06T17/00; G06T3/40; G06T7/11; G06T7/136; G06V10/26
8620113,2013,Microsoft Corporation,A63F13/213; G06F3/005; G06F3/017; G06F3/0304
8587773,2013,Microsoft Corporation,G01C3/08; G01S17/36; G01S17/894; G01S7/491; G01S7/4914
8351651,2013,Microsoft Corporation,G06F3/011; G06F3/017
8762894,2014,Microsoft Corporation,A63F13/213; A63F13/215; A63F13/22; A63F13/28; A63F13/42; A63F13/428; A63F13/79; A63F13/833; A63F13/843; A63F2300/5553; A63F2300/6607; G06F3/011; G06F3/017; G06F3/0304; G06F3/04883; G07F17/3206; G07F17/3209
8811938,2014,Microsoft Corporation,B60K2360/1438; B60K2360/146; B60K2360/1464; B60K2360/1472; B60K2360/148; B60K2360/151; B60K2360/166; B60K2360/182; B60K2360/21; B60K2360/566; B60K2360/573; B60K2360/586; B60K2360/5894; B60K2360/5899; B60K2360/592; B60K2360/834; B60K35/10; B60K35/20; B60K35/26; B60K35/28; B60K35/29; B60K35/50; B60K35/80; B60K35/85; G06F1/1632; G06F1/1694; G06F3/0481; H04W4/027; H04W4/90; H04W48/04
8879831,2014,Microsoft Corporation,G06V10/426; G06V40/10
8803800,2014,Microsoft Corporation,G06F3/011; G06F3/012
8908091,2014,Microsoft Corporation,G01B11/27; H04N23/54; H04N23/55
8885890,2014,Microsoft Corporation,G06T2207/10028; G06T2207/20012; G06T2207/30168; G06T5/70
8629976,2014,Microsoft Corporation,G01C3/08; G01S17/36; G01S17/894; G01S7/4915
8682028,2014,Microsoft Corporation,A63F2300/1093; A63F2300/6607; A63F2300/8029; G06T13/40; G06T2207/10028; G06T2207/30196; G06T7/251; G06V40/103
8660310,2014,Microsoft Corporation,G06T17/05; G06V40/23
